name,value,year,lastValue,rank,
seo,4291275,Feb-16,4244743,1,
seo,4338669,Mar-16,4291275,1,
seo,4385201,Apr-16,4338669,1,
seo,4428286,May-16,4385201,1,
seo,4467924,Jun-16,4428286,1,
seo,4507562,Jul-16,4467924,1,
seo,4548062,Aug-16,4507562,1,
seo,4591147,Sep-16,4548062,1,
seo,4635094,Oct-16,4591147,1,
seo,4679903,Nov-16,4635094,1,
seo,4719541,Dec-16,4679903,1,
seo,4766935,Jan-17,4719541,1,
seo,4812605,Feb-17,4766935,1,
seo,4859137,Mar-17,4812605,1,
seo,4906531,Apr-17,4859137,1,
seo,4951340,May-17,4906531,1,
seo,4992702,Jun-17,4951340,1,
seo,5036649,Jul-17,4992702,1,
seo,5079734,Aug-17,5036649,1,
seo,5134883,Sep-17,5079734,1,
seo,5188309,Oct-17,5134883,1,
seo,5224500,Nov-17,5188309,1,
seo,5251213,Dec-17,5224500,1,
seo,5283958,Jan-18,5251213,1,
seo,5319288,Feb-18,5283958,1,
seo,5353756,Mar-18,5319288,1,
seo,5385639,Apr-18,5353756,1,
seo,5417522,May-18,5385639,1,
seo,5447682,Jun-18,5417522,1,
seo,5478703,Jul-18,5447682,1,
seo,5511448,Aug-18,5478703,1,
seo,5544193,Sep-18,5511448,1,
seo,5575214,Oct-18,5544193,1,
seo,5606235,Nov-18,5575214,1,
seo,5633809,Dec-18,5606235,1,
seo,5670000,Jan-19,5633809,1,
seo,5711362,Feb-19,5670000,1,
ppc,25575,Jan-04,25575,1,
ppc,53625,Feb-04,25575,1,
ppc,84150,Mar-04,53625,1,
ppc,109725,Apr-04,84150,1,
ppc,137775,May-04,109725,1,
ppc,168300,Jun-04,137775,1,
ppc,193875,Jul-04,168300,1,
ppc,226050,Aug-04,193875,1,
ppc,255750,Sep-04,226050,1,
ppc,287100,Oct-04,255750,1,
ppc,315975,Nov-04,287100,1,
ppc,349800,Dec-04,315975,1,
ppc,385275,Jan-05,349800,1,
ppc,417450,Feb-05,385275,1,
ppc,455400,Mar-05,417450,1,
ppc,491700,Apr-05,455400,1,
ppc,523875,May-05,491700,1,
ppc,557700,Jun-05,523875,1,
ppc,589050,Jul-05,557700,1,
ppc,625350,Aug-05,589050,1,
ppc,660825,Sep-05,625350,1,
ppc,696300,Oct-05,660825,1,
ppc,726825,Nov-05,696300,1,
ppc,757350,Dec-05,726825,1,
ppc,789525,Jan-06,757350,1,
ppc,820875,Feb-06,789525,1,
ppc,851400,Mar-06,820875,1,
ppc,882750,Apr-06,851400,1,
ppc,911625,May-06,882750,1,
ppc,938025,Jun-06,911625,1,
ppc,965250,Jul-06,938025,1,
ppc,992475,Aug-06,965250,1,
ppc,1020525,Sep-06,992475,1,
ppc,1048575,Oct-06,1020525,1,
ppc,1072500,Nov-06,1048575,1,
ppc,1098900,Dec-06,1072500,1,
ppc,1122825,Jan-07,1098900,1,
ppc,1151700,Feb-07,1122825,1,
ppc,1178100,Mar-07,1151700,1,
ppc,1201200,Apr-07,1178100,1,
ppc,1225950,May-07,1201200,1,
ppc,1249050,Jun-07,1225950,2,
ppc,1272975,Jul-07,1249050,2,
ppc,1296900,Aug-07,1272975,2,
ppc,1320825,Sep-07,1296900,2,
ppc,1343100,Oct-07,1320825,2,
ppc,1367850,Nov-07,1343100,2,
ppc,1389300,Dec-07,1367850,2,
ppc,1411575,Jan-08,1389300,2,
ppc,1432200,Feb-08,1411575,2,
ppc,1454475,Mar-08,1432200,2,
ppc,1476750,Apr-08,1454475,2,
ppc,1497375,May-08,1476750,2,
ppc,1516350,Jun-08,1497375,2,
ppc,1538625,Jul-08,1516350,2,
ppc,1559250,Aug-08,1538625,2,
ppc,1578225,Sep-08,1559250,2,
ppc,1597200,Oct-08,1578225,2,
ppc,1615350,Nov-08,1597200,2,
ppc,1633500,Dec-08,1615350,2,
ppc,1652475,Jan-09,1633500,2,
ppc,1670625,Feb-09,1652475,2,
ppc,1687125,Mar-09,1670625,2,
ppc,1706100,Apr-09,1687125,2,
ppc,1721775,May-09,1706100,2,
ppc,1739925,Jun-09,1721775,2,
ppc,1758075,Jul-09,1739925,2,
ppc,1774575,Aug-09,1758075,2,
ppc,1790250,Sep-09,1774575,2,
ppc,1805100,Oct-09,1790250,2,
ppc,1819125,Nov-09,1805100,2,
ppc,1833150,Dec-09,1819125,2,
ppc,1847175,Jan-10,1833150,2,
ppc,1863675,Feb-10,1847175,2,
ppc,1880175,Mar-10,1863675,2,
ppc,1896675,Apr-10,1880175,2,
ppc,1910700,May-10,1896675,2,
ppc,1923075,Jun-10,1910700,2,
ppc,1934625,Jul-10,1923075,2,
ppc,1946175,Aug-10,1934625,2,
ppc,1959375,Sep-10,1946175,2,
ppc,1970100,Oct-10,1959375,2,
ppc,1980000,Nov-10,1970100,2,
ppc,1989075,Dec-10,1980000,2,
